avgHR,calories,duration,steps,distance,speed,pace,user_id,vo2Max,date,Age,Height,Gender,MaxHR,weight,alcohol_consumed,sleep,sleep_quality
155.0,714,41.23,6723.0,6.81,9.87,364.62,p01,46.92,2020-01-25,48,195,male,182,100,No,6.45,97.0
139.0,752,52.78,7150.0,7.07,8.7,413.73,p01,48.72,2020-01-18,48,195,male,182,100,No,5.18,99.0
152.0,567,35.73,4963.0,5.31,9.45,380.8,p01,45.72,2020-02-10,48,195,male,182,100,No,5.45,99.0
147.0,815,50.72,7469.0,7.14,8.83,407.67,p01,41.83,2020-01-04,48,195,male,182,100,No,7.65,99.0
163.0,454,26.43,3913.0,3.86,9.43,381.83,p01,44.86,2019-12-26,48,195,male,182,100,No,6.77,96.0
141.0,461,30.17,3981.0,3.99,7.8,461.55,p01,47.13,2019-11-23,48,195,male,182,100,No,5.93,98.0
144.0,396,24.42,3901.0,3.85,9.34,385.36,p01,47.38,2019-11-05,48,195,male,182,100,No,5.43,99.0
146.0,339,21.07,3384.0,3.45,9.71,370.62,p01,47.01,2019-11-11,48,195,male,182,100,No,5.3,97.0
150.0,493,31.68,4671.0,4.27,8.79,409.63,p01,44.46,2020-03-05,48,195,male,182,100,No,5.97,97.0
145.0,416,29.3,3815.0,3.98,9.55,377.12,p01,48.54,2020-03-14,48,195,male,182,100,No,7.43,98.0
159.0,486,28.62,4056.0,3.71,8.25,436.59,p01,44.07,2020-02-26,48,195,male,182,100,No,4.93,97.0
133.0,283,35.03,2519.0,2.39,7.2,499.9,p01,46.69,2020-02-21,48,195,male,182,100,No,4.38,98.0
131.0,1035,81.08,10783.0,9.28,7.39,486.87,p02,53.6,2019-12-13,60,180,male,169,91,No,6.15,99.0
121.0,1088,101.6,8859.0,6.52,4.3,836.58,p02,49.42,2019-12-08,60,180,male,169,91,Yes,5.85,94.0
147.0,864,60.17,8064.0,7.07,7.61,473.28,p02,45.82,2019-11-13,60,180,male,169,91,No,5.98,98.0
142.0,1211,81.02,11880.0,10.43,7.82,460.45,p02,45.5,2019-11-11,60,180,male,169,91,No,6.38,91.0
136.0,544,71.92,10034.0,9.36,8.19,439.64,p02,56.13,2019-11-06,60,180,male,169,91,No,6.45,93.0
140.0,553,38.73,5548.0,5.01,7.82,460.61,p02,46.03,2019-11-27,60,180,male,169,91,No,6.18,92.0
130.0,1062,87.58,11350.0,10.15,7.66,470.03,p02,64.64,2019-11-25,60,180,male,169,91,No,6.97,96.0
153.0,591,37.63,5635.0,5.16,8.25,436.27,p02,51.07,2019-11-18,60,180,male,169,91,No,5.63,96.0
147.0,1062,71.18,10211.0,8.81,7.69,468.07,p02,48.39,2019-11-16,60,180,male,169,91,No,6.55,92.0
129.0,998,87.98,8014.0,5.57,4.08,883.18,p02,54.52,2020-02-16,60,180,male,169,91,No,5.1,93.0
93.0,105,77.37,1295.0,0.9,4.1,878.65,p02,49.23,2020-02-15,60,180,male,169,91,No,5.78,91.0
147.0,1196,83.78,11288.0,9.68,7.49,480.86,p02,50.02,2020-02-27,60,180,male,169,91,No,6.13,91.0
128.0,1375,113.75,10810.0,11.09,6.17,583.18,p02,38.78,2020-03-19,60,180,male,169,91,Yes,6.9,98.0
128.0,1671,140.55,12612.0,9.55,4.44,811.02,p02,38.78,2020-03-23,60,180,male,169,91,No,7.13,99.0
136.0,1333,130.1,10570.0,8.36,5.11,704.17,p02,45.53,2020-03-14,60,180,male,169,91,No,8.4,89.0
144.0,1238,86.58,12357.0,11.26,8.1,444.48,p02,49.72,2020-01-27,60,180,male,169,91,No,6.0,95.0
140.0,761,71.1,7582.0,6.92,7.93,453.95,p02,47.13,2020-01-14,60,180,male,169,91,No,5.58,99.0
139.0,1038,74.17,10134.0,9.12,7.69,468.02,p02,46.2,2020-01-10,60,180,male,169,91,Yes,6.25,91.0
130.0,513,71.75,4977.0,4.2,6.4,562.27,p02,51.52,2020-01-21,60,180,male,169,91,No,5.97,100.0
144.0,1142,77.75,11077.0,9.6,7.65,470.34,p02,64.98,2020-01-17,60,180,male,169,91,No,3.88,97.0
141.0,652,44.02,6522.0,5.91,8.14,442.2,p02,42.15,2019-12-24,60,180,male,169,91,Yes,6.95,98.0
145.0,1142,77.25,11023.0,9.56,7.62,472.19,p02,49.78,2019-12-20,60,180,male,169,91,No,6.2,97.0
134.0,1011,105.4,9104.0,7.67,6.36,566.26,p02,54.09,2020-01-07,60,180,male,169,91,No,6.35,93.0
135.0,628,71.28,6013.0,5.45,7.58,475.14,p02,46.69,2019-12-28,60,180,male,169,91,No,6.9,91.0
134.0,914,77.67,9070.0,7.56,6.83,527.31,p02,40.03,2020-01-23,60,180,male,169,91,No,4.63,93.0
148.0,455,59.38,8790.0,8.14,8.62,417.73,p04,42.32,2019-12-23,26,163,female,195,58,Yes,8.15,89.0
155.0,294,39.88,5103.0,5.45,9.59,375.22,p04,48.23,2020-01-08,26,163,female,195,58,Yes,1.53,97.0
154.0,428,51.23,7582.0,8.26,10.25,351.12,p04,53.67,2020-01-20,26,163,female,195,58,Yes,7.88,96.0
155.0,297,35.28,5196.0,5.78,10.4,346.07,p04,45.53,2020-01-17,26,163,female,195,58,No,8.38,91.0
163.0,442,53.32,7415.0,8.05,10.45,344.52,p04,54.62,2020-01-14,26,163,female,195,58,Yes,6.73,90.0
