user_id,date,sleep,sleep_quality
p16,2019-11-01,6.38,91
p09,2019-11-01,4.85,93
p03,2019-11-01,2.1,93
p03,2019-11-02,6.13,89
p05,2019-11-02,5.05,96
p16,2019-11-02,6.62,94
p06,2019-11-02,8.05,98
p01,2019-11-02,6.3,97
p16,2019-11-03,5.7,92
p01,2019-11-03,6.3,96
p05,2019-11-03,3.73,89
p09,2019-11-03,6.22,96
p06,2019-11-03,5.42,95
p06,2019-11-04,6.52,97
p01,2019-11-04,6.02,96
p09,2019-11-04,5.07,96
p16,2019-11-04,8.83,89
p16,2019-11-05,8.2,92
p06,2019-11-05,6.57,98
p01,2019-11-05,5.43,99
p09,2019-11-05,6.38,97
p05,2019-11-06,5.53,93
p01,2019-11-06,5.68,99
p16,2019-11-06,7.83,86
p03,2019-11-06,7.38,96
p09,2019-11-06,7.98,95
p06,2019-11-06,7.05,97
p02,2019-11-06,6.45,93
p06,2019-11-07,6.32,99
p01,2019-11-07,5.2,97
p05,2019-11-07,5.38,91
p03,2019-11-07,6.92,95
p16,2019-11-07,5.72,91
p07,2019-11-07,7.38,94
p12,2019-11-07,1.17,96
p09,2019-11-07,5.57,91
p04,2019-11-07,6.93,94
p02,2019-11-07,6.38,90
p01,2019-11-08,6.0,100
p03,2019-11-08,6.58,95
p07,2019-11-08,7.57,98
p16,2019-11-08,6.25,89
p09,2019-11-08,11.52,93
p10,2019-11-08,8.53,93
p06,2019-11-08,6.2,98
p05,2019-11-08,6.08,93
p04,2019-11-08,6.68,95
p02,2019-11-08,6.48,98
p05,2019-11-09,1.38,97
p09,2019-11-09,7.72,96
p01,2019-11-09,5.73,99
p07,2019-11-09,0.9,84
p16,2019-11-09,9.93,92
p04,2019-11-09,7.87,94
p06,2019-11-09,5.62,97
p02,2019-11-09,4.5,94
p10,2019-11-09,7.75,95
p04,2019-11-10,8.68,93
p06,2019-11-10,2.62,95
p02,2019-11-10,6.95,99
p16,2019-11-10,6.02,92
p01,2019-11-10,6.37,99
p05,2019-11-10,6.03,99
p10,2019-11-10,7.77,88
p15,2019-11-10,8.25,96
p02,2019-11-11,6.38,91
p01,2019-11-11,5.3,97
p15,2019-11-11,7.67,95
p16,2019-11-11,8.62,95
p12,2019-11-11,3.72,100
p09,2019-11-11,11.32,95
p10,2019-11-11,7.62,86
p07,2019-11-11,7.6,97
p04,2019-11-11,1.55,96
p06,2019-11-11,8.12,90
p10,2019-11-12,7.1,92
p01,2019-11-12,6.3,98
p04,2019-11-12,7.37,95
p15,2019-11-12,6.78,95
p07,2019-11-12,7.53,97
p02,2019-11-12,3.67,98
p09,2019-11-12,3.93,87
p16,2019-11-12,6.37,92
p03,2019-11-12,3.23,92
p06,2019-11-12,6.78,98
p13,2019-11-12,7.18,92
p08,2019-11-12,6.82,91
p05,2019-11-13,4.68,96
p06,2019-11-13,7.63,100
p03,2019-11-13,6.18,97
p07,2019-11-13,7.38,96
p02,2019-11-13,5.98,98
p01,2019-11-13,5.33,97
p10,2019-11-13,6.87,95
p09,2019-11-13,8.4,93
p15,2019-11-13,6.6,96
p16,2019-11-13,8.25,92
p04,2019-11-13,6.83,95
p13,2019-11-13,4.65,94
p08,2019-11-13,7.05,93
p04,2019-11-14,7.05,92
p12,2019-11-14,2.97,98
p08,2019-11-14,6.7,94
p09,2019-11-14,5.77,94
p16,2019-11-14,5.25,93
p15,2019-11-14,6.92,94
p02,2019-11-14,6.25,99
p13,2019-11-14,7.03,93
p10,2019-11-14,7.28,93
p01,2019-11-14,5.42,99
p07,2019-11-14,7.45,97
p06,2019-11-14,5.65,99
p05,2019-11-14,5.65,92
